hotel,price,score,avg review,reviews count
Austin's Saint Lazare Hotel,US$145,8.1,Very Good,"1,757"
Beau M Paris,US$40,8.9,Excellent,83
Auriane Porte De Versailles,US$66,5.4,Review score,"1,066"
Printania Porte de Versailles,US$66,5.6,Review score,925
Auberge de Jeunesse HI Paris Yves Robert,US$37,7.7,Good,"2,773"
Moulin Vert,US$60,6.7,Review score,"1,362"
Grand Hôtel De Paris,US$87,7.2,Good,"1,772"
Le Coffice Auberge de Jeunesse,US$27,5.5,Review score,"1,493"
Enjoy Hostel,US$39,6.7,Review score,"4,531"
Baba Hotel,US$81,7.9,Good,114
Central Hotel Paris,US$113,7.7,Good,"1,056"
Ibis Paris Gare Montparnasse Catalogne,US$148,8.3,Very Good,862
Hotel Paris Bercy,US$92,6.1,Review score,824
Montparnasse Alésia,US$120,8.1,Very Good,"1,989"
Hotel de l'Europe,US$82,6.3,Review score,"1,489"
Auberge de Jeunesse HI Paris Le d'Artagnan,US$43,6.3,Review score,"2,760"
Hôtel Edgar Quinet,US$109,5.9,Review score,"1,969"
UCPA SPORT STATION HOSTEL PARIS,US$32,8.0,Very Good,"2,627"
The People - Paris Bercy,US$75,8.8,Excellent,"4,065"
Hotel Leonard De Vinci,US$83,6.5,Review score,989
City Inn Paris,US$38,6.7,Review score,"1,684"
Hôtel Avenir Jonquière,US$71,7.9,Good,"1,393"
Hôtel Sanso by HappyCulture - ex Bercy Bibliothèque,US$98,8.6,Excellent,602
Le Petit Borda,US$82,4.2,Review score,471
Hôtel du Mont Blanc,US$153,7.3,Good,"1,870"
